mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_selectperc__percentile,param_sampling__kw_args,param_preprocessor__text__tfidf__use_idf,param_preprocessor__text__tfidf__norm,param_preprocessor__text__tfidf__ngram_range,param_preprocessor__text__tfidf__min_df,param_preprocessor__text__tfidf__max_df,param_clf__estimator__penalty,param_clf__estimator__class_weight,param_clf__estimator,param_clf__estimator__max_iter,param_clf__estimator__loss,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_Balanced Accuracy,split1_test_Balanced Accuracy,split2_test_Balanced Accuracy,split3_test_Balanced Accuracy,split4_test_Balanced Accuracy,mean_test_Balanced Accuracy,std_test_Balanced Accuracy,rank_test_Balanced Accuracy,split0_test_Matthews Correlation Coefficient,split1_test_Matthews Correlation Coefficient,split2_test_Matthews Correlation Coefficient,split3_test_Matthews Correlation Coefficient,split4_test_Matthews Correlation Coefficient,mean_test_Matthews Correlation Coefficient,std_test_Matthews Correlation Coefficient,rank_test_Matthews Correlation Coefficient,split0_test_Class Balance Accuracy,split1_test_Class Balance Accuracy,split2_test_Class Balance Accuracy,split3_test_Class Balance Accuracy,split4_test_Class Balance Accuracy,mean_test_Class Balance Accuracy,std_test_Class Balance Accuracy,rank_test_Class Balance Accuracy,learner
6.477666521072388,0.21308525047221677,1.2240869045257567,0.03914128576614639,100,{'up_balancing_counts': 300},True,l2,"(1, 3)",1,0.7,l2,,SGDClassifier(max_iter=10000),10000,hinge,"{'selectperc__percentile': 100, 'sampling__kw_args': {'up_balancing_counts': 300}, 'preprocessor__text__tfidf__use_idf': True, 'preprocessor__text__tfidf__norm': 'l2', 'preprocessor__text__tfidf__ngram_range': (1, 3), 'preprocessor__text__tfidf__min_df': 1, 'preprocessor__text__tfidf__max_df': 0.7, 'clf__estimator__penalty': 'l2', 'clf__estimator__max_iter': 10000, 'clf__estimator__loss': 'hinge', 'clf__estimator__class_weight': None, 'clf__estimator': SGDClassifier(max_iter=10000)}",0.720575783234547,0.7527519051651143,0.7392040643522438,0.7510584250635055,0.7400508044030483,0.7407281964436917,0.011490733584208214,1,0.49340438015622007,0.5204319052759333,0.48884320555760014,0.5280946937099154,0.5422709237198112,0.514609021683896,0.02046687201570223,2,0.628743708329195,0.6700333626399755,0.6510034685427363,0.6648734138503634,0.653390350259568,0.6536088607243676,0.014295216257074793,1,0.4746334764944663,0.5029938702893197,0.46035871581052507,0.5063183234605,0.5263874043572156,0.49413835808240536,0.02361472962567632,1,SGDClassifier
9.172642755508424,0.24191848684886133,1.399665117263794,0.07975556963285137,85,{'up_balancing_counts': 800},False,l2,"(1, 3)",3,0.95,l2,balanced,SGDClassifier(max_iter=10000),10000,log,"{'selectperc__percentile': 85, 'sampling__kw_args': {'up_balancing_counts': 800}, 'preprocessor__text__tfidf__use_idf': False, 'preprocessor__text__tfidf__norm': 'l2', 'preprocessor__text__tfidf__ngram_range': (1, 3), 'preprocessor__text__tfidf__min_df': 3, 'preprocessor__text__tfidf__max_df': 0.95, 'clf__estimator__penalty': 'l2', 'clf__estimator__max_iter': 10000, 'clf__estimator__loss': 'log', 'clf__estimator__class_weight': 'balanced', 'clf__estimator': SGDClassifier(max_iter=10000)}",0.6773920406435224,0.7027942421676545,0.7027942421676545,0.6909398814563928,0.6951735817104149,0.6938187976291278,0.009392328280346855,4,0.5272454803747102,0.5797017896139384,0.5404306563711923,0.5769627740742292,0.5767305819198081,0.5602142564707757,0.02196085984851299,1,0.587414010848858,0.6218345738354522,0.6147889833123317,0.6140728339804667,0.6058732820126196,0.6087967367979455,0.011827907433530125,4,0.47652949814948475,0.5051905326144739,0.47989990227750745,0.4980521460293982,0.49268386671536013,0.49047118915724486,0.010818029167413756,2,SGDClassifier
8.914931774139404,0.22221925928123196,1.3029571056365967,0.10484252183564748,85,{'up_balancing_counts': 800},False,None,"(1, 3)",1,0.95,elasticnet,balanced,SGDClassifier(max_iter=10000),10000,log,"{'selectperc__percentile': 85, 'sampling__kw_args': {'up_balancing_counts': 800}, 'preprocessor__text__tfidf__use_idf': False, 'preprocessor__text__tfidf__norm': None, 'preprocessor__text__tfidf__ngram_range': (1, 3), 'preprocessor__text__tfidf__min_df': 1, 'preprocessor__text__tfidf__max_df': 0.95, 'clf__estimator__penalty': 'elasticnet', 'clf__estimator__max_iter': 10000, 'clf__estimator__loss': 'log', 'clf__estimator__class_weight': 'balanced', 'clf__estimator': SGDClassifier(max_iter=10000)}",0.7036409822184589,0.7315834038950042,0.7231160033869602,0.7586790855207451,0.724809483488569,0.7283657917019475,0.017780734629509482,2,0.4893243709702549,0.5096626279456689,0.4743840509883613,0.5241858667330543,0.5311937825508425,0.5057501398376363,0.021242410204402314,3,0.6068553224223282,0.6415841050285795,0.6306543658332999,0.6739325206764593,0.6326356832710908,0.6371323994463516,0.021693102010144998,2,0.4719577644397912,0.4932156233883484,0.454159017374461,0.5054143516061897,0.5193592236980773,0.48882119610137353,0.023294020227456858,3,SGDClassifier
7.266242218017578,0.2167651497946952,1.4017417907714844,0.05543837247050685,100,{'up_balancing_counts': 300},False,None,"(1, 3)",1,0.95,elasticnet,balanced,SGDClassifier(max_iter=10000),10000,hinge,"{'selectperc__percentile': 100, 'sampling__kw_args': {'up_balancing_counts': 300}, 'preprocessor__text__tfidf__use_idf': False, 'preprocessor__text__tfidf__norm': None, 'preprocessor__text__tfidf__ngram_range': (1, 3), 'preprocessor__text__tfidf__min_df': 1, 'preprocessor__text__tfidf__max_df': 0.95, 'clf__estimator__penalty': 'elasticnet', 'clf__estimator__max_iter': 10000, 'clf__estimator__loss': 'hinge', 'clf__estimator__class_weight': 'balanced', 'clf__estimator': SGDClassifier(max_iter=10000)}",0.7095681625740897,0.7180355630821338,0.720575783234547,0.7468247248094835,0.6867061812023709,0.7163420829805249,0.019360558966337392,3,0.49629701225093237,0.47406563874860264,0.44406448483063776,0.5053603924425603,0.5315357447318285,0.4902646546009123,0.029544668966774015,4,0.6137403411009975,0.6220590791627599,0.6260324077225872,0.6589553748610089,0.5937856502338346,0.6229145706162376,0.021175706997884642,3,0.4808838306714053,0.454441494372028,0.4205469159915041,0.4806159834352424,0.4888591873284665,0.4650694823597292,0.025111552781113468,4,SGDClassifier
9.590111303329468,0.2613676328846513,1.359012508392334,0.045922912215077806,85,{'up_balancing_counts': 800},False,l2,"(2, 3)",1,0.7,elasticnet,balanced,SGDClassifier(max_iter=10000),10000,log,"{'selectperc__percentile': 85, 'sampling__kw_args': {'up_balancing_counts': 800}, 'preprocessor__text__tfidf__use_idf': False, 'preprocessor__text__tfidf__norm': 'l2', 'preprocessor__text__tfidf__ngram_range': (2, 3), 'preprocessor__text__tfidf__min_df': 1, 'preprocessor__text__tfidf__max_df': 0.7, 'clf__estimator__penalty': 'elasticnet', 'clf__estimator__max_iter': 10000, 'clf__estimator__loss': 'log', 'clf__estimator__class_weight': 'balanced', 'clf__estimator': SGDClassifier(max_iter=10000)}",0.6215071972904318,0.5969517358171041,0.6138865368331922,0.6215071972904318,0.6257408975444538,0.6159187129551228,0.010225591288366141,7,0.43371303782408177,0.3986232839856859,0.4577066414402098,0.4453933385328105,0.4700505318061581,0.4410973667177892,0.024458884547005146,5,0.5051708184940532,0.47428977640469605,0.5040749360578176,0.5034108361359598,0.512239237038019,0.49983712082610915,0.013157949258049426,7,0.39643901555557826,0.3625215256617053,0.4026954048660161,0.4056273063054167,0.4060774137152752,0.3946721332207983,0.016439297843693718,5,SGDClassifier
9.417873954772949,0.09711316354886708,1.1447510719299316,0.18785000510856653,70,{'up_balancing_counts': 800},False,l2,"(2, 3)",1,0.7,elasticnet,,SGDClassifier(max_iter=10000),10000,hinge,"{'selectperc__percentile': 70, 'sampling__kw_args': {'up_balancing_counts': 800}, 'preprocessor__text__tfidf__use_idf': False, 'preprocessor__text__tfidf__norm': 'l2', 'preprocessor__text__tfidf__ngram_range': (2, 3), 'preprocessor__text__tfidf__min_df': 1, 'preprocessor__text__tfidf__max_df': 0.7, 'clf__estimator__penalty': 'elasticnet', 'clf__estimator__max_iter': 10000, 'clf__estimator__loss': 'hinge', 'clf__estimator__class_weight': None, 'clf__estimator': SGDClassifier(max_iter=10000)}",0.6502963590177815,0.6409822184589331,0.6545300592718035,0.663844199830652,0.6689246401354784,0.6557154953429297,0.009883310050069346,5,0.37779316321235934,0.4097960115118983,0.43035630563972815,0.45845193884828217,0.435671946266158,0.42241387309568523,0.027158126237052237,6,0.5298893695502874,0.5183450449778118,0.5399583178179067,0.5481207541069082,0.5541232805474854,0.5380873534000798,0.0127928595561342,5,0.33804753681198757,0.37504349044580076,0.3919581120878178,0.4197703270808872,0.40687043824859087,0.3863379809350168,0.028391625368534713,6,SGDClassifier
6.7613458156585695,0.1442613730166502,1.3210096836090088,0.022705933569427655,70,{'up_balancing_counts': 300},True,l2,"(2, 3)",3,0.7,l2,,SGDClassifier(max_iter=10000),10000,hinge,"{'selectperc__percentile': 70, 'sampling__kw_args': {'up_balancing_counts': 300}, 'preprocessor__text__tfidf__use_idf': True, 'preprocessor__text__tfidf__norm': 'l2', 'preprocessor__text__tfidf__ngram_range': (2, 3), 'preprocessor__text__tfidf__min_df': 3, 'preprocessor__text__tfidf__max_df': 0.7, 'clf__estimator__penalty': 'l2', 'clf__estimator__max_iter': 10000, 'clf__estimator__loss': 'hinge', 'clf__estimator__class_weight': None, 'clf__estimator': SGDClassifier(max_iter=10000)}",0.6460626587637596,0.6384419983065199,0.6409822184589331,0.655376799322608,0.6418289585097375,0.6445385266723116,0.005948913825656313,6,0.3848930426063518,0.3597766788154394,0.38241171496806237,0.400040051290098,0.43051515438100973,0.3915273284121923,0.023356921590838884,8,0.5276243068807145,0.5156045346684763,0.5189740112055797,0.5334706950210961,0.5241147781402358,0.5239576651832205,0.006302035843766367,6,0.35273740036010337,0.31390874738772495,0.3464799737613829,0.3685659096369882,0.39433044539121703,0.35520449530748327,0.026445831402243745,7,SGDClassifier
7.074600601196289,0.10912938890233859,1.4319643020629882,0.10622221474353226,85,{'up_balancing_counts': 300},False,l2,"(1, 3)",1,0.7,l2,balanced,Perceptron(),,,"{'selectperc__percentile': 85, 'sampling__kw_args': {'up_balancing_counts': 300}, 'preprocessor__text__tfidf__use_idf': False, 'preprocessor__text__tfidf__norm': 'l2', 'preprocessor__text__tfidf__ngram_range': (1, 3), 'preprocessor__text__tfidf__min_df': 1, 'preprocessor__text__tfidf__max_df': 0.7, 'clf__estimator__penalty': 'l2', 'clf__estimator__class_weight': 'balanced', 'clf__estimator': Perceptron()}",0.48856900931414055,0.7138018628281118,0.6519898391193903,0.628281117696867,0.23708721422523285,0.5439458086367486,0.17021505391127223,8,0.42550558809972655,0.481504174103777,0.43505968862556105,0.5102709668216869,0.24450671239172167,0.41936942600849464,0.09271960146883786,7,0.43845382825645846,0.62033560909236,0.5500250783656061,0.5496742452303192,0.2884531823065722,0.4893883886502632,0.11612721797720701,8,0.32697490529938084,0.4530821708959387,0.372786712302952,0.38531845075793697,0.12985867926542768,0.33360418370432726,0.10958175331583714,8,Perceptron
8.58859167098999,0.2597429494817613,1.3162704944610595,0.07647536863788484,85,{'up_balancing_counts': 800},False,l2,"(3, 3)",3,0.95,l2,balanced,SGDClassifier(max_iter=10000),10000,log,"{'selectperc__percentile': 85, 'sampling__kw_args': {'up_balancing_counts': 800}, 'preprocessor__text__tfidf__use_idf': False, 'preprocessor__text__tfidf__norm': 'l2', 'preprocessor__text__tfidf__ngram_range': (3, 3), 'preprocessor__text__tfidf__min_df': 3, 'preprocessor__text__tfidf__max_df': 0.95, 'clf__estimator__penalty': 'l2', 'clf__estimator__max_iter': 10000, 'clf__estimator__loss': 'log', 'clf__estimator__class_weight': 'balanced', 'clf__estimator': SGDClassifier(max_iter=10000)}",0.5495342929720576,0.514817950889077,0.5529212531752752,0.5605419136325148,0.5410668924640135,0.5437764606265876,0.01577211034970373,9,0.33932211951045643,0.32093092560063824,0.35970408393422604,0.3706263828186711,0.3366245341480636,0.34544160920241107,0.017627555615048158,9,0.4079625495866544,0.36725054893680953,0.4105790256262581,0.4073701775409563,0.39008349477270254,0.39664915929267613,0.016397319596447493,9,0.2814306423932045,0.27219524124907746,0.32888766583243173,0.3369043136409463,0.3164127091678791,0.30716611445670783,0.02579520224335462,9,SGDClassifier
5.354701137542724,0.096926329287307,1.1373680114746094,0.0438469077770982,100,{'up_balancing_counts': 300},False,None,"(2, 3)",3,0.7,l2,balanced,Perceptron(),,,"{'selectperc__percentile': 100, 'sampling__kw_args': {'up_balancing_counts': 300}, 'preprocessor__text__tfidf__use_idf': False, 'preprocessor__text__tfidf__norm': None, 'preprocessor__text__tfidf__ngram_range': (2, 3), 'preprocessor__text__tfidf__min_df': 3, 'preprocessor__text__tfidf__max_df': 0.7, 'clf__estimator__penalty': 'l2', 'clf__estimator__class_weight': 'balanced', 'clf__estimator': Perceptron()}",0.4758679085520745,0.5215918712955123,0.5469940728196444,0.46147332768839966,0.392887383573243,0.4797629127857748,0.05322918035529247,10,0.286888957511232,0.35518461257145506,0.3351650873983312,0.3068466489717433,0.33708449224372183,0.32423395973929664,0.02424679944002434,10,0.30111612345941563,0.39083794747774675,0.4117951603408491,0.3034575201547641,0.292084568221024,0.3398582639307599,0.05075852400765871,10,0.2523388777245793,0.3147962583379565,0.27621020245224076,0.2405487252784204,0.21728109293773057,0.26023503134618553,0.03324777976383497,10,Perceptron
